BJD,RV,FWHM,CONTRAST,BIS,RV_err,FWHM_err,CONTRAST_err,BIS_err,SNR_0,SNR_1,SNR_2,SNR_3,SNR_4,SNR_5,SNR_6,SNR_7,SNR_8,SNR_9,SNR_10,SNR_11,SNR_12,SNR_13,SNR_14,SNR_15,SNR_16,SNR_17,SNR_18,SNR_19,SNR_20,SNR_21,SNR_22,SNR_23,SNR_24,SNR_25,SNR_26,SNR_27,SNR_28,SNR_29,SNR_30,SNR_31,SNR_32,SNR_33,SNR_34,SNR_35,SNR_36,SNR_37,SNR_38,SNR_39,SNR_40,SNR_41,SNR_42,SNR_43,SNR_44,SNR_45,SNR_46,SNR_47,SNR_48,SNR_49,SNR_50,SNR_51,SNR_52,SNR_53,SNR_54,SNR_55,SNR_56,SNR_57,SNR_58,SNR_59,HALPHA
2458678.56569,-5.32857383,12.67391177,10.0636943,0.30697958,0.01269236,0.07758505,0.04885735,0.03497386,0.81934,1.6067,2.7721,5.0003,7.735,10.994,13.335,14.105,16.475,17.11,19.038,21.051,23.826,24.515,20.614,24.693,27.478,31.114,32.91,30.71,30.343,35.406,39.733,42.423,46.24,47.268,47.15,44.291,44.805,42.556,50.104,54.099,53.099,50.997,58.443,67.409,70.843,72.907,52.192,67.948,70.246,69.172,70.572,63.132,64.702,67.02,66.313,66.973,66.463,64.9,56.978,51.934,48.4,27.051,23.217,17.207,3.3272,0.68643,0.66007,0.59854,2.69504
2458678.56569,-5.32857383,12.67391177,10.0636943,0.30697958,0.01269236,0.07758505,0.04885735,0.03497386,0.72417,1.1843,2.063,3.6956,6.1229,8.7127,10.94,11.739,14.016,14.546,16.221,18.32,21.028,21.837,18.568,22.446,25.266,28.895,30.403,29.052,28.901,33.817,38.15,41.692,44.89,46.271,46.542,44.198,44.8,42.894,51.253,54.999,54.024,52.431,60.455,70.119,74.298,76.348,54.584,72.513,74.777,74.016,76.059,68.286,70.39,73.184,72.982,73.946,73.637,72.188,63.887,58.482,54.748,31.184,27.201,20.439,4.0012,0.72475,0.66359,0.6505,2.70468
2458679.53492,-5.00830547,12.22023547,7.27153457,-0.08140844,0.00902712,0.06439497,0.03052608,0.02266949,2.0482,3.4199,4.9925,9.2111,14.904,20.179,23.613,25.75,29.496,31.298,34.825,38.697,43.111,45.687,44.807,48.392,53.622,59.41,64.165,62.48,63.766,70.358,78.23,83.118,88.938,92.966,94.862,89.06,90.116,85.205,98.046,106.61,103.35,97.164,108.01,123.11,128.86,130.29,95.356,123.31,124.34,120.77,121.38,106.75,108.22,112.19,110.22,109.27,106.57,101.96,88.776,78.744,72.605,37.593,33.164,25.062,4.8941,0.71734,0.63908,0.63569,3.53532
2458679.53492,-5.00830547,12.22023547,7.27153457,-0.08140844,0.00902712,0.06439497,0.03052608,0.02266949,2.0789,3.4758,5.0262,9.1251,14.923,20.348,23.719,26.002,29.843,31.572,35.21,39.008,43.912,46.143,45.19,49.06,54.319,60.325,65.03,63.473,64.729,71.645,79.876,84.369,90.786,94.433,97.012,90.803,91.491,86.546,99.969,108.69,105.27,99.338,110.14,125.61,131.63,133.0,97.386,125.64,126.63,123.11,123.86,108.89,110.24,114.51,112.45,111.4,108.39,103.85,90.279,80.32,74.11,38.781,34.135,25.362,5.0982,0.68355,0.59042,0.57342,3.70245
2458680.53032,-5.04875084,12.35963353,9.90222447,-0.1037381,0.00709599,0.05580273,0.03557856,0.01807112,0.6987,1.2243,1.8493,3.9334,6.7431,10.066,12.876,14.924,18.185,19.409,23.053,26.552,31.282,33.487,29.114,35.845,41.64,47.654,51.422,50.059,50.576,59.716,67.752,73.858,80.038,83.355,84.655,81.112,82.916,79.738,93.477,100.89,99.586,94.569,107.77,127.3,134.98,138.04,100.44,129.66,132.78,129.82,131.59,115.65,117.76,122.51,121.92,122.23,119.63,115.71,99.764,88.365,81.226,38.778,36.505,30.174,7.167,0.83053,0.68831,0.5793,3.08575
2458680.53032,-5.04875084,12.35963353,9.90222447,-0.1037381,0.00709599,0.05580273,0.03557856,0.01807112,0.95629,1.3405,2.1618,4.3095,7.4663,11.536,15.114,17.593,21.677,23.614,28.4,33.108,39.168,42.263,37.494,46.084,53.184,61.073,66.289,64.857,65.913,77.223,87.344,94.822,102.71,106.39,107.63,102.65,104.29,100.04,116.54,124.56,122.31,114.34,130.58,152.48,160.83,163.25,117.67,149.65,152.18,147.49,147.93,128.65,130.08,133.42,130.74,129.52,125.36,119.66,101.84,89.163,80.853,37.793,35.228,28.1,6.4164,0.783,0.65722,0.59542,3.0713
2458684.56601,-4.85841035,12.1727302,10.30449743,-0.27492161,0.01784673,0.05275783,0.03561533,0.04484409,0.62198,1.0503,1.6792,2.9282,4.9374,7.0643,8.8176,9.554,11.244,11.507,12.836,14.698,16.675,17.368,14.029,17.033,19.428,22.318,23.447,21.866,21.483,25.381,28.463,30.696,32.858,33.734,33.955,31.731,31.733,29.71,34.833,37.597,36.835,33.949,38.629,46.687,49.409,50.441,35.529,46.749,47.735,46.413,46.77,40.259,41.424,43.321,43.264,43.734,42.946,41.604,35.172,30.722,27.431,9.8618,9.6333,7.905,1.4001,0.68677,0.63208,0.63733,2.30224
2458684.56601,-4.85841035,12.1727302,10.30449743,-0.27492161,0.01784673,0.05275783,0.03561533,0.04484409,0.62555,0.79169,1.21,1.9675,3.6398,5.2881,6.7508,7.5364,9.02,9.4002,11.04,12.566,14.825,15.358,12.679,15.638,18.456,21.331,22.793,21.657,21.63,25.657,29.45,32.031,34.725,36.055,36.619,34.641,35.195,33.604,39.448,42.984,42.395,39.498,45.325,54.613,58.326,60.067,43.001,56.697,58.104,56.821,57.887,50.425,51.975,54.787,55.013,55.527,55.001,53.372,45.518,40.164,36.48,14.311,14.116,11.707,2.0743,0.67052,0.64115,0.60978,2.32114
2458686.54605,-4.91301736,12.40093472,10.13725658,-0.33547158,0.00820745,0.06249272,0.04063784,0.0203445,0.75356,1.3089,2.1659,4.3007,8.0618,11.168,14.129,15.467,18.844,19.835,23.031,26.032,30.312,32.04,27.402,33.386,38.16,43.785,46.827,44.925,44.655,52.458,59.774,64.295,69.697,71.947,72.473,68.786,69.874,66.772,78.536,84.209,82.587,78.081,89.501,105.9,111.88,114.32,82.525,106.02,108.21,106.04,107.65,94.232,96.219,99.83,98.968,99.411,97.653,94.519,81.306,71.537,65.548,30.321,28.248,22.44,4.4565,0.76258,0.64919,0.59564,2.3793
2458686.54605,-4.91301736,12.40093472,10.13725658,-0.33547158,0.00820745,0.06249272,0.04063784,0.0203445,0.93185,1.6881,2.6329,5.2188,9.5562,13.122,16.041,17.651,21.084,22.075,25.311,28.553,32.77,34.55,29.5,35.466,40.331,46.12,48.686,46.568,46.469,54.338,61.305,66.017,71.172,73.209,73.377,69.635,70.292,66.915,78.344,83.655,81.69,76.933,88.102,103.21,109.09,110.95,79.058,101.93,103.78,101.04,102.4,89.059,90.549,93.354,92.099,91.805,89.579,86.095,73.947,65.143,59.351,26.966,24.77,19.424,3.4337,0.70283,0.64592,0.60457,2.39334
2458687.57667,-5.16909378,12.70566711,10.06474198,0.01214015,0.01256547,0.06642137,0.04171401,0.03253469,0.70397,1.0588,1.6718,3.1721,5.6628,8.0812,10.224,11.1,13.327,14.003,15.902,18.01,20.813,21.631,18.083,22.266,25.294,28.98,30.791,29.319,29.073,34.388,38.971,42.27,46.014,47.299,47.527,44.915,45.739,43.553,51.727,55.505,54.661,52.083,60.235,70.94,75.06,77.376,55.143,72.458,74.578,73.519,75.268,66.826,68.554,71.581,71.192,72.27,71.418,69.736,60.816,54.762,50.616,25.384,23.081,17.783,3.4379,0.70508,0.65208,0.64647,2.4607
2458687.57667,-5.16909378,12.70566711,10.06474198,0.01214015,0.01256547,0.06642137,0.04171401,0.03253469,0.6017,1.1635,2.1237,3.7272,6.424,9.341,11.385,12.315,14.596,15.45,17.619,19.703,22.578,23.65,19.874,24.008,27.418,31.335,33.144,31.257,31.195,36.722,41.458,45.029,48.642,49.567,50.098,47.378,48.152,45.603,54.078,57.951,56.906,54.656,62.921,73.447,77.695,79.503,56.378,74.022,76.131,74.694,76.24,67.501,69.272,71.822,71.061,71.874,71.268,69.17,60.222,54.091,49.86,25.117,22.288,16.963,3.1864,0.57514,0.55346,0.51247,2.46875
